"id","uuid_key","district_id","code","name","status","created_by","created_at","created_client","updated_by","updated_at","updated_client","deleted","kemendagri_code"
3700,"27b1e49a-97e3-496a-8456-fe8a9b0ee954",248,"3521040",Kendal,A,43,2021-08-27 12:09:13:566595,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:566595,c1bbb0d29b3b4864b491bf38851b3821,false,
3703,c866ffd4-36a9-43f0-80e9-a3add6346c94,248,"3521060",Kwadungan,A,43,2021-08-27 12:09:13:579743,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:579743,c1bbb0d29b3b4864b491bf38851b3821,false,
3709,"99047347-ccf5-4f0e-a39d-93ad6ef41e2d",248,"3521110",Ngawi,A,43,2021-08-27 12:09:13:604224,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:604224,c1bbb0d29b3b4864b491bf38851b3821,false,
3713,"36b1dfb5-9779-4c7d-9b11-aa959958ddbf",248,"3521150",Widodaren,A,43,2021-08-27 12:09:13:624065,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:624065,c1bbb0d29b3b4864b491bf38851b3821,false,
3718,"385b0719-6612-4a71-a7da-37052a14efd4",249,"3522030",Tambakrejo,A,43,2021-08-27 12:09:13:645631,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:645631,c1bbb0d29b3b4864b491bf38851b3821,false,
3721,a7a02da6-b848-423c-8894-837c071b2436,249,"3522050",Bubulan,A,43,2021-08-27 12:09:13:657873,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:657873,c1bbb0d29b3b4864b491bf38851b3821,false,
3724,c267d6cf-95b8-4075-b94f-7f43d5e2ded9,249,"3522070",Sugihwaras,A,43,2021-08-27 12:09:13:670736,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:670736,c1bbb0d29b3b4864b491bf38851b3821,false,
3727,"93067ebd-3d07-488e-a0a1-3c6f812f0fdc",249,"3522100",Baureno,A,43,2021-08-27 12:09:13:683169,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:683169,c1bbb0d29b3b4864b491bf38851b3821,false,
3729,"66e23727-8a62-4623-8393-e022a5758291",249,"3522120",Sumberejo,A,43,2021-08-27 12:09:13:693656,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:693656,c1bbb0d29b3b4864b491bf38851b3821,false,
3735,ee0f3d2a-6461-4e01-8623-ff5884f7a879,249,"3522180",Dander,A,43,2021-08-27 12:09:13:717279,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:717279,c1bbb0d29b3b4864b491bf38851b3821,false,
3738,e9d5277c-5786-4c28-be4f-cc94ab2d470d,249,"3522200",Kalitidu,A,43,2021-08-27 12:09:13:728703,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:728703,c1bbb0d29b3b4864b491bf38851b3821,false,
3741,"141a0e2d-3e93-4f17-ba80-e17f0f898554",249,"3522230",Padangan,A,43,2021-08-27 12:09:13:740157,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:740157,c1bbb0d29b3b4864b491bf38851b3821,false,
3746,"1f76e70c-2f99-46e7-85e8-622ef4a0abb7",250,"3523030",Senori,A,43,2021-08-27 12:09:13:761710,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:761710,c1bbb0d29b3b4864b491bf38851b3821,false,
3749,"8228cc06-f53c-48ef-8312-aab139cbdb40",250,"3523060",Parengan,A,43,2021-08-27 12:09:13:775657,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:775657,c1bbb0d29b3b4864b491bf38851b3821,false,
3752,"8061ee53-70df-4fe1-b671-0e8894cd18ff",250,"3523081",Grabagan,A,43,2021-08-27 12:09:13:787541,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:787541,c1bbb0d29b3b4864b491bf38851b3821,false,
3755,"9960ce94-d074-4c20-9270-e8da0cae8103",250,"3523110",Palang,A,43,2021-08-27 12:09:13:799736,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:799736,c1bbb0d29b3b4864b491bf38851b3821,false,
3758,a5431f65-4be8-47a9-982d-3720d3f296d8,250,"3523140",Jenu,A,43,2021-08-27 12:09:13:811780,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:811780,c1bbb0d29b3b4864b491bf38851b3821,false,
3761,d37a8742-022d-434d-85b0-1019f986738e,250,"3523170",Tambakboyo,A,43,2021-08-27 12:09:13:824967,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:824967,c1bbb0d29b3b4864b491bf38851b3821,false,
